partynames,riding,party,votes
Green Party of Ontario,RICHMOND HILL,GRN,1268
Ontario Liberal Party,RICHMOND HILL,LIB,18042
Ontario Libertarian Party,RICHMOND HILL,LTN,394
Ontario NDP,RICHMOND HILL,NDP,4987
PC Party of Ontario,RICHMOND HILL,PC,13763
Green Party of Ontario,SARNIA--LAMBTON,GRN,567
Independent,SARNIA--LAMBTON,IND,1077
Ontario Liberal Party,SARNIA--LAMBTON,LIB,8819
Ontario Libertarian Party,SARNIA--LAMBTON,LTN,160
Ontario NDP,SARNIA--LAMBTON,NDP,10307
PC Party of Ontario,SARNIA--LAMBTON,PC,19570
Family Coalition Party of Ontario,SAULT STE. MARIE,FCP,172
Green Party of Ontario,SAULT STE. MARIE,GRN,519
Ontario Liberal Party,SAULT STE. MARIE,LIB,16109
Ontario NDP,SAULT STE. MARIE,NDP,9037
PC Party of Ontario,SAULT STE. MARIE,PC,3477
Freedom Party of Ontario,SCARBOROUGH CENTRE,FP,301
Green Party of Ontario,SCARBOROUGH CENTRE,GRN,558
Ontario Liberal Party,SCARBOROUGH CENTRE,LIB,16142
Ontario NDP,SCARBOROUGH CENTRE,NDP,6876
PC Party of Ontario,SCARBOROUGH CENTRE,PC,7511
Freedom Party of Ontario,SCARBOROUGH SOUTHWEST,FP,250
Green Party of Ontario,SCARBOROUGH SOUTHWEST,GRN,777
Ontario Liberal Party,SCARBOROUGH SOUTHWEST,LIB,14585
Ontario NDP,SCARBOROUGH SOUTHWEST,NDP,10404
PC Party of Ontario,SCARBOROUGH SOUTHWEST,PC,7061
Freedom Party of Ontario,SCARBOROUGH--AGINCOURT,FP,83
Green Party of Ontario,SCARBOROUGH--AGINCOURT,GRN,722
Ontario Liberal Party,SCARBOROUGH--AGINCOURT,LIB,14907
Ontario Libertarian Party,SCARBOROUGH--AGINCOURT,LTN,656
Ontario NDP,SCARBOROUGH--AGINCOURT,NDP,5017
PC Party of Ontario,SCARBOROUGH--AGINCOURT,PC,10222
Paramount Canadians Party,SCARBOROUGH--AGINCOURT,PCP,209
Freedom Party of Ontario,SCARBOROUGH--GUILDWOOD,FP,136
Green Party of Ontario,SCARBOROUGH--GUILDWOOD,GRN,413
Ontario Liberal Party,SCARBOROUGH--GUILDWOOD,LIB,15607
Ontario Libertarian Party,SCARBOROUGH--GUILDWOOD,LTN,407
Ontario NDP,SCARBOROUGH--GUILDWOOD,NDP,6194
PC Party of Ontario,SCARBOROUGH--GUILDWOOD,PC,9137
Family Coalition Party of Ontario,SCARBOROUGH--ROUGE RIVER,FCP,166
Freedom Party of Ontario,SCARBOROUGH--ROUGE RIVER,FP,150
Green Party of Ontario,SCARBOROUGH--ROUGE RIVER,GRN,455
Ontario Liberal Party,SCARBOROUGH--ROUGE RIVER,LIB,15237
Ontario Libertarian Party,SCARBOROUGH--ROUGE RIVER,LTN,457
Ontario NDP,SCARBOROUGH--ROUGE RIVER,NDP,13088
PC Party of Ontario,SCARBOROUGH--ROUGE RIVER,PC,6837
Green Party of Ontario,SIMCOE NORTH,GRN,2488
Ontario Liberal Party,SIMCOE NORTH,LIB,10191
Ontario NDP,SIMCOE NORTH,NDP,7710
PC Party of Ontario,SIMCOE NORTH,PC,25081
Green Party of Ontario,SIMCOE--GREY,GRN,4057
Ontario Liberal Party,SIMCOE--GREY,LIB,10404
Ontario NDP,SIMCOE--GREY,NDP,6839
PC Party of Ontario,SIMCOE--GREY,PC,25339
Canadians' Choice Party,ST. CATHARINES,CCP,62
Communist,ST. CATHARINES,COM,68
Family Coalition Party of Ontario,ST. CATHARINES,FCP,191
Freedom Party of Ontario,ST. CATHARINES,FP,57
Green Party of Ontario,ST. CATHARINES,GRN,1066
Ontario Liberal Party,ST. CATHARINES,LIB,17166
Ontario NDP,ST. CATHARINES,NDP,8624
PC Party of Ontario,ST. CATHARINES,PC,15461
Freedom Party of Ontario,ST. PAUL'S,FP,86
Green Party of Ontario,ST. PAUL'S,GRN,1180
Northern Ontario Heritage Party,ST. PAUL'S,NOH,69
Ontario Liberal Party,ST. PAUL'S,LIB,25048
Ontario Libertarian Party,ST. PAUL'S,LTN,335
Ontario NDP,ST. PAUL'S,NDP,7124
PC Party of Ontario,ST. PAUL'S,PC,8972
Socialist Party of Ontario,ST. PAUL'S,SPO,83
Green Party of Ontario,STORMONT--DUNDAS--SOUTH GLENGARRY,GRN,551
Ontario Liberal Party,STORMONT--DUNDAS--SOUTH GLENGARRY,LIB,8413
Ontario Libertarian Party,STORMONT--DUNDAS--SOUTH GLENGARRY,LTN,396
Ontario NDP,STORMONT--DUNDAS--SOUTH GLENGARRY,NDP,8021
PC Party of Ontario,STORMONT--DUNDAS--SOUTH GLENGARRY,PC,21463
Family Coalition Party of Ontario,SUDBURY,FCP,164
Green Party of Ontario,SUDBURY,GRN,870
Independent,SUDBURY,IND,44
Ontario Liberal Party,SUDBURY,LIB,13755
Ontario NDP,SUDBURY,NDP,13204
PC Party of Ontario,SUDBURY,PC,4400
Freedom Party of Ontario,THORNHILL,FP,149
Green Party of Ontario,THORNHILL,GRN,756
Ontario Liberal Party,THORNHILL,LIB,18373
Ontario Libertarian Party,THORNHILL,LTN,623
Ontario NDP,THORNHILL,NDP,4024
PC Party of Ontario,THORNHILL,PC,20971
Green Party of Ontario,THUNDER BAY--ATIKOKAN,GRN,379
Independent,THUNDER BAY--ATIKOKAN,IND,86
Ontario Liberal Party,THUNDER BAY--ATIKOKAN,LIB,10319
Ontario NDP,THUNDER BAY--ATIKOKAN,NDP,9881
PC Party of Ontario,THUNDER BAY--ATIKOKAN,PC,5815
Green Party of Ontario,THUNDER BAY--SUPERIOR NORTH,GRN,555
Ontario Liberal Party,THUNDER BAY--SUPERIOR NORTH,LIB,11765
Ontario Libertarian Party,THUNDER BAY--SUPERIOR NORTH,LTN,133
Ontario NDP,THUNDER BAY--SUPERIOR NORTH,NDP,9111
PC Party of Ontario,THUNDER BAY--SUPERIOR NORTH,PC,4578
Green Party of Ontario,TIMISKAMING--COCHRANE,GRN,312
Northern Ontario Heritage Party,TIMISKAMING--COCHRANE,NOH,391
Ontario Liberal Party,TIMISKAMING--COCHRANE,LIB,6532
Ontario NDP,TIMISKAMING--COCHRANE,NDP,12633
PC Party of Ontario,TIMISKAMING--COCHRANE,PC,5337
Freedom Party of Ontario,TIMMINS--JAMES BAY,FP,108
Green Party of Ontario,TIMMINS--JAMES BAY,GRN,233
Ontario Liberal Party,TIMMINS--JAMES BAY,LIB,2870
Ontario NDP,TIMMINS--JAMES BAY,NDP,11479
PC Party of Ontario,TIMMINS--JAMES BAY,PC,8515
Canadians' Choice Party,TORONTO CENTRE,CCP,19
Communist,TORONTO CENTRE,COM,146
Freedom Party of Ontario,TORONTO CENTRE,FP,92
Green Party of Ontario,TORONTO CENTRE,GRN,1123
Ontario Liberal Party,TORONTO CENTRE,LIB,25236
Ontario Libertarian Party,TORONTO CENTRE,LTN,441
Ontario NDP,TORONTO CENTRE,NDP,11571
PC Party of Ontario,TORONTO CENTRE,PC,7186
The People,TORONTO CENTRE,PPP,29
Vegan Environmental Party,TORONTO CENTRE,VEP,93
Canadians' Choice Party,TORONTO--DANFORTH,CCP,75
Freedom Party of Ontario,TORONTO--DANFORTH,FP,107
Green Party of Ontario,TORONTO--DANFORTH,GRN,1354
Ontario Liberal Party,TORONTO--DANFORTH,LIB,11369
Ontario Libertarian Party,TORONTO--DANFORTH,LTN,440
Ontario NDP,TORONTO--DANFORTH,NDP,20062
PC Party of Ontario,TORONTO--DANFORTH,PC,3488
TOP,TORONTO--DANFORTH,TOP,110
The People,TORONTO--DANFORTH,PPP,143
Freedom Party of Ontario,TRINITY--SPADINA,FP,126
Green Party of Ontario,TRINITY--SPADINA,GRN,2415
Ontario Liberal Party,TRINITY--SPADINA,LIB,18731
Ontario NDP,TRINITY--SPADINA,NDP,19870
PC Party of Ontario,TRINITY--SPADINA,PC,5420
Party for Human Rights in Ontario,TRINITY--SPADINA,PHR,88
Party for People with Special Needs,TRINITY--SPADINA,PSN,139
Socialist Party of Ontario,TRINITY--SPADINA,SPO,117
Green Party of Ontario,VAUGHAN,GRN,694
Independent,VAUGHAN,IND,169
Ontario Liberal Party,VAUGHAN,LIB,26174
Ontario Libertarian Party,VAUGHAN,LTN,929
Ontario NDP,VAUGHAN,NDP,5594
Ontario Provincial Confederation of Regions Party,VAUGHAN,COR,169
PC Party of Ontario,VAUGHAN,PC,15420
Reform Party of Ontario,VAUGHAN,REF,218
Green Party of Ontario,WELLAND,GRN,1005
Ontario Liberal Party,WELLAND,LIB,8638
Ontario Libertarian Party,WELLAND,LTN,505
Ontario NDP,WELLAND,NDP,19527
PC Party of Ontario,WELLAND,PC,14084
Green Party of Ontario,WELLINGTON--HALTON HILLS,GRN,1309
Ontario Liberal Party,WELLINGTON--HALTON HILLS,LIB,11334
Ontario NDP,WELLINGTON--HALTON HILLS,NDP,6106
PC Party of Ontario,WELLINGTON--HALTON HILLS,PC,23495
Freedom Party of Ontario,WHITBY--OSHAWA,FP,160
Green Party of Ontario,WHITBY--OSHAWA,GRN,1139
Ontario Liberal Party,WHITBY--OSHAWA,LIB,16988
Ontario NDP,WHITBY--OSHAWA,NDP,7865
PC Party of Ontario,WHITBY--OSHAWA,PC,24499
Party for People with Special Needs,WHITBY--OSHAWA,PSN,211
Freedom Party of Ontario,WILLOWDALE,FP,297
Green Party of Ontario,WILLOWDALE,GRN,874
Ontario Liberal Party,WILLOWDALE,LIB,21984
Ontario NDP,WILLOWDALE,NDP,5556
PC Party of Ontario,WILLOWDALE,PC,14528
Green Party of Ontario,WINDSOR WEST,GRN,1051
Ontario Liberal Party,WINDSOR WEST,LIB,14127
Ontario NDP,WINDSOR WEST,NDP,10544
PC Party of Ontario,WINDSOR WEST,PC,8476
Green Party of Ontario,WINDSOR--TECUMSEH,GRN,830
Ontario Liberal Party,WINDSOR--TECUMSEH,LIB,15946
Ontario Libertarian Party,WINDSOR--TECUMSEH,LTN,476
Ontario NDP,WINDSOR--TECUMSEH,NDP,12228
PC Party of Ontario,WINDSOR--TECUMSEH,PC,7751
Freedom Party of Ontario,YORK CENTRE,FP,108
Green Party of Ontario,YORK CENTRE,GRN,535
Independent,YORK CENTRE,IND,127
Ontario Liberal Party,YORK CENTRE,LIB,14694
Ontario Libertarian Party,YORK CENTRE,LTN,846
Ontario NDP,YORK CENTRE,NDP,4579
PC Party of Ontario,YORK CENTRE,PC,11506
 MARK MICHEAL RADEJEWSKY,YORK SOUTH--WESTON,IND,46
Freedom Party of Ontario,YORK SOUTH--WESTON,FP,177
Green Party of Ontario,YORK SOUTH--WESTON,GRN,477
Ontario Liberal Party,YORK SOUTH--WESTON,LIB,13862
Ontario NDP,YORK SOUTH--WESTON,NDP,13020
PC Party of Ontario,YORK SOUTH--WESTON,PC,3461
 LELAND W. CORNELL,YORK WEST,IND,114
Freedom Party of Ontario,YORK WEST,FP,107
Green Party of Ontario,YORK WEST,GRN,286
Independent,YORK WEST,IND,89
Ontario Liberal Party,YORK WEST,LIB,11444
Ontario NDP,YORK WEST,NDP,7857
PC Party of Ontario,YORK WEST,PC,2738
Freedom Party of Ontario,YORK--SIMCOE,FP,201
Green Party of Ontario,YORK--SIMCOE,GRN,1479
Ontario Liberal Party,YORK--SIMCOE,LIB,9496
Ontario Libertarian Party,YORK--SIMCOE,LTN,489
Ontario NDP,YORK--SIMCOE,NDP,6607
PC Party of Ontario,YORK--SIMCOE,PC,20425
