partynames,riding,party,votes
Green Party of Ontario,DUFFERIN--CALEDON,GRN,5540
Ontario Liberal Party,DUFFERIN--CALEDON,LIB,10162
Ontario Libertarian Party,DUFFERIN--CALEDON,LTN,250
Ontario NDP,DUFFERIN--CALEDON,NDP,4200
PC Party of Ontario,DUFFERIN--CALEDON,PC,17833
Freedom Party of Ontario,DURHAM,FP,172
Green Party of Ontario,DURHAM,GRN,1221
Ontario Liberal Party,DURHAM,LIB,13394
Ontario Libertarian Party,DURHAM,LTN,421
Ontario NDP,DURHAM,NDP,8027
PC Party of Ontario,DURHAM,PC,22393
Freedom Party of Ontario,EGLINTON--LAWRENCE,FP,152
Green Party of Ontario,EGLINTON--LAWRENCE,GRN,575
Independent,EGLINTON--LAWRENCE,IND,146
Ontario Liberal Party,EGLINTON--LAWRENCE,LIB,20752
Ontario NDP,EGLINTON--LAWRENCE,NDP,3763
PC Party of Ontario,EGLINTON--LAWRENCE,PC,12857
Party for People with Special Needs,EGLINTON--LAWRENCE,PSN,79
Freedom Party of Ontario,ELGIN--MIDDLESEX--LONDON,FP,283
Green Party of Ontario,ELGIN--MIDDLESEX--LONDON,GRN,981
Ontario Liberal Party,ELGIN--MIDDLESEX--LONDON,LIB,11075
Ontario NDP,ELGIN--MIDDLESEX--LONDON,NDP,9201
PC Party of Ontario,ELGIN--MIDDLESEX--LONDON,PC,19771
Green Party of Ontario,ESSEX,GRN,860
Ontario Liberal Party,ESSEX,LIB,11518
Ontario NDP,ESSEX,NDP,17417
PC Party of Ontario,ESSEX,PC,16049
Family Coalition Party of Ontario,ETOBICOKE CENTRE,FCP,231
Freedom Party of Ontario,ETOBICOKE CENTRE,FP,108
Green Party of Ontario,ETOBICOKE CENTRE,GRN,837
Ontario Liberal Party,ETOBICOKE CENTRE,LIB,21916
Ontario Libertarian Party,ETOBICOKE CENTRE,LTN,422
Ontario NDP,ETOBICOKE CENTRE,NDP,5099
PC Party of Ontario,ETOBICOKE CENTRE,PC,13956
Family Coalition Party of Ontario,ETOBICOKE NORTH,FCP,391
Freedom Party of Ontario,ETOBICOKE NORTH,FP,320
Green Party of Ontario,ETOBICOKE NORTH,GRN,541
Ontario Liberal Party,ETOBICOKE NORTH,LIB,12081
Ontario NDP,ETOBICOKE NORTH,NDP,5426
PC Party of Ontario,ETOBICOKE NORTH,PC,6072
Paramount Canadians Party,ETOBICOKE NORTH,PCP,100
THANE C. MACKAY,ETOBICOKE--LAKESHORE,IND,113
Freedom Party of Ontario,ETOBICOKE--LAKESHORE,FP,174
Green Party of Ontario,ETOBICOKE--LAKESHORE,GRN,1164
Independent,ETOBICOKE--LAKESHORE,IND,113
Ontario Liberal Party,ETOBICOKE--LAKESHORE,LIB,22169
Ontario Libertarian Party,ETOBICOKE--LAKESHORE,LTN,172
Ontario NDP,ETOBICOKE--LAKESHORE,NDP,6713
PC Party of Ontario,ETOBICOKE--LAKESHORE,PC,12705
Socialist Party of Ontario,ETOBICOKE--LAKESHORE,SPO,125
Freedom Party of Ontario,GLENGARRY--PRESCOTT--RUSSELL,FP,164
Green Party of Ontario,GLENGARRY--PRESCOTT--RUSSELL,GRN,770
Ontario Liberal Party,GLENGARRY--PRESCOTT--RUSSELL,LIB,17345
Ontario Libertarian Party,GLENGARRY--PRESCOTT--RUSSELL,LTN,199
Ontario NDP,GLENGARRY--PRESCOTT--RUSSELL,NDP,5721
PC Party of Ontario,GLENGARRY--PRESCOTT--RUSSELL,PC,15973
Communist,GUELPH,COM,139
Green Party of Ontario,GUELPH,GRN,3234
Independent,GUELPH,IND,100
Ontario Liberal Party,GUELPH,LIB,19815
Ontario Libertarian Party,GUELPH,LTN,305
Ontario NDP,GUELPH,NDP,11150
PC Party of Ontario,GUELPH,PC,11954
Family Coalition Party of Ontario,HALDIMAND--NORFOLK,FCP,242
Green Party of Ontario,HALDIMAND--NORFOLK,GRN,868
Ontario Liberal Party,HALDIMAND--NORFOLK,LIB,7087
Ontario NDP,HALDIMAND--NORFOLK,NDP,8048
PC Party of Ontario,HALDIMAND--NORFOLK,PC,25203
Freedom Party of Ontario,HALIBURTON--KAWARTHA LAKES--BROCK,FP,245
Green Party of Ontario,HALIBURTON--KAWARTHA LAKES--BROCK,GRN,1562
Ontario Liberal Party,HALIBURTON--KAWARTHA LAKES--BROCK,LIB,16522
Ontario NDP,HALIBURTON--KAWARTHA LAKES--BROCK,NDP,8517
PC Party of Ontario,HALIBURTON--KAWARTHA LAKES--BROCK,PC,22352
PHIL BUCK,HALTON,IND,166
Family Coalition Party of Ontario,HALTON,FCP,296
Freedom Party of Ontario,HALTON,FP,168
Green Party of Ontario,HALTON,GRN,1286
Ontario Liberal Party,HALTON,LIB,23080
Ontario NDP,HALTON,NDP,7757
PC Party of Ontario,HALTON,PC,26228
Communist,HAMILTON CENTRE,COM,122
Family Coalition Party of Ontario,HAMILTON CENTRE,FCP,229
Freedom Party of Ontario,HAMILTON CENTRE,FP,130
Green Party of Ontario,HAMILTON CENTRE,GRN,1249
Independent,HAMILTON CENTRE,IND,268
Ontario Liberal Party,HAMILTON CENTRE,LIB,5861
Ontario Libertarian Party,HAMILTON CENTRE,LTN,634
Ontario NDP,HAMILTON CENTRE,NDP,20586
PC Party of Ontario,HAMILTON CENTRE,PC,4421
Reform Party of Ontario,HAMILTON CENTRE,REF,67
Family Coalition Party of Ontario,HAMILTON EAST--STONEY CREEK,FCP,173
Freedom Party of Ontario,HAMILTON EAST--STONEY CREEK,FP,133
Green Party of Ontario,HAMILTON EAST--STONEY CREEK,GRN,692
Ontario Liberal Party,HAMILTON EAST--STONEY CREEK,LIB,10397
Ontario Libertarian Party,HAMILTON EAST--STONEY CREEK,LTN,295
Ontario NDP,HAMILTON EAST--STONEY CREEK,NDP,20442
PC Party of Ontario,HAMILTON EAST--STONEY CREEK,PC,7395
Family Coalition Party of Ontario,HAMILTON MOUNTAIN,FCP,450
Freedom Party of Ontario,HAMILTON MOUNTAIN,FP,126
Green Party of Ontario,HAMILTON MOUNTAIN,GRN,748
Ontario Liberal Party,HAMILTON MOUNTAIN,LIB,14694
Ontario Libertarian Party,HAMILTON MOUNTAIN,LTN,222
Ontario NDP,HAMILTON MOUNTAIN,NDP,20492
PC Party of Ontario,HAMILTON MOUNTAIN,PC,8641
Family Coalition Party of Ontario,HURON--BRUCE,FCP,656
Green Party of Ontario,HURON--BRUCE,GRN,772
Independent,HURON--BRUCE,IND,200
Ontario Liberal Party,HURON--BRUCE,LIB,14659
Ontario NDP,HURON--BRUCE,NDP,9329
PC Party of Ontario,HURON--BRUCE,PC,19138
Green Party of Ontario,KENORA--RAINY RIVER,GRN,391
Northern Ontario Heritage Party,KENORA--RAINY RIVER,NOH,216
Ontario Liberal Party,KENORA--RAINY RIVER,LIB,2202
Ontario NDP,KENORA--RAINY RIVER,NDP,10949
PC Party of Ontario,KENORA--RAINY RIVER,PC,8307
Family Coalition Party of Ontario,KINGSTON AND THE ISLANDS,FCP,336
Freedom Party of Ontario,KINGSTON AND THE ISLANDS,FP,71
Green Party of Ontario,KINGSTON AND THE ISLANDS,GRN,1594
Ontario Liberal Party,KINGSTON AND THE ISLANDS,LIB,21028
Ontario Libertarian Party,KINGSTON AND THE ISLANDS,LTN,115
Ontario NDP,KINGSTON AND THE ISLANDS,NDP,10241
PC Party of Ontario,KINGSTON AND THE ISLANDS,PC,9610
People First Republic Party of Ontario,KINGSTON AND THE ISLANDS,PFR,56
Freedom Party of Ontario,KITCHENER CENTRE,FP,77
Green Party of Ontario,KITCHENER CENTRE,GRN,938
Independent,KITCHENER CENTRE,IND,137
